Fasta	Genome	contig	Start	Stop	protID	name	url
GCF-001516265-protein2356.fasta	GCF_001516265	NZ_CP008857.1	2577468	2578512	2356	DUF2806 domain-containing protein	http://purl.uniprot.org/uniparc/UPI0009A69F31
GCF-001729505-protein11591.fasta	GCF_001729505	NZ_CP017149.1	6136622	6137348	11591	DUF3142 domain-containing protein	http://purl.uniprot.org/uniparc/UPI00037D49FB
GCF-002192475-protein6631.fasta	GCF_002192475	NZ_CP021774.1	346160	350162	6631	helicase	http://purl.uniprot.org/uniparc/UPI000744617E
GCF-000829885-protein8562.fasta	GCF_000829885	NZ_CP010555.1	2495583	2497155	8562	Probable malate:quinone oxidoreductase 1	http://purl.uniprot.org/uniprot/Q9HYF4
GCF-000510305-protein8667.fasta	GCF_000510305	NC_023149.1	2842419	2842728	8667	HTH iclR-type domain-containing protein	http://purl.uniprot.org/uniprot/Q5ZR02
GCF-003028335-protein1427.fasta	GCF_003028335	NZ_CP028162.1	1513195	1513936	1427	30S ribosomal protein S2	http://purl.uniprot.org/uniprot/B7V7F7
GCF-003073615-protein8013.fasta	GCF_003073615	NZ_CP029089.1	1833913	1834804	8013	EamA family transporter	http://purl.uniprot.org/uniprot/A0A2V2TFB1
GCF-003288435-protein5220.fasta	GCF_003288435	NZ_CP030327.1	5665184	5667236	5220	protease Lon-related BREX system protein BrxL	http://purl.uniprot.org/uniparc/UPI0007445C24
GCF-003429185-protein5573.fasta	GCF_003429185	NZ_CP031659.1	6090761	6091535	5573		
GCF-001516225-protein1482.fasta	GCF_001516225	NZ_CP008864.2	1628614	1630687	1482	AIPR family protein	http://purl.uniprot.org/uniprot/A0A0A8RM52
GCF-002968695-protein10520.fasta	GCF_002968695	NZ_CP027174.1	4198946	4199435	10520	Single-stranded DNA-binding protein	http://purl.uniprot.org/uniprot/A0A4S2XS26
GCF-001518975-protein4268.fasta	GCF_001518975	NZ_CP013989.1	4692429	4693128	4268	DUF4391 domain-containing protein	http://purl.uniprot.org/uniparc/UPI00044B2CB9
GCF-001548335-protein8406.fasta	GCF_001548335	NZ_AP017302.1	2576616	2578596	8406	Large ATP-binding protein	http://purl.uniprot.org/uniprot/A0A0P0AKJ5
GCF-000017205-protein5991.fasta	GCF_000017205	NC_009656.1	111308	111740	5991	Protein MucA	http://purl.uniprot.org/uniprot/A6UXG1
GCF-001729505-protein6853.fasta	GCF_001729505	NZ_CP017149.1	898384	899191	6853	HpcH_HpaI domain-containing protein	http://purl.uniprot.org/uniprot/Q9HWQ3
GCF-000524595-protein4732.fasta	GCF_000524595	NZ_CP007147.1	5229205	5229952	4732	Sugar dehydrogenase	http://purl.uniprot.org/uniprot/A0A1S1C5Y7
GCF-003028335-protein5547.fasta	GCF_003028335	NZ_CP028162.1	5999481	6000780	5547	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000E03FE89
GCF-000473745-protein7349.fasta	GCF_000473745	NZ_CP008739.1	1775649	1779024	7349	type IV conjugative transfer system coupling protein TraD	http://purl.uniprot.org/uniparc/UPI000907771D
GCF-002968755-protein5499.fasta	GCF_002968755	NZ_CP027169.1	6009719	6010937	5499	Acyl-CoA dehydrogenase	http://purl.uniprot.org/uniprot/A0A4V0B456
GCF-001077475-protein1433.fasta	GCF_001077475	NZ_CP012066.1	1586278	1587799	1433	AAA family ATPase	http://purl.uniprot.org/uniparc/UPI000ADF6828
GCF-001516265-protein6116.fasta	GCF_001516265	NZ_CP008857.1	6698043	6698523	6116		
GCF-002968695-protein12266.fasta	GCF_002968695	NZ_CP027174.1	6169436	6171143	12266	nitrite reductase	http://purl.uniprot.org/uniparc/UPI00053D314D
GCF-001729505-protein6444.fasta	GCF_001729505	NZ_CP017149.1	461057	462089	6444	Probable methylesterase	http://purl.uniprot.org/uniprot/G3XD63
GCF-003028335-protein6155.fasta	GCF_003028335	NZ_CP028162.1	6686191	6687430	6155	Protoheme IX biogenesis protein	http://purl.uniprot.org/uniprot/A0A157WRA2
GCF-000359505-protein10952.fasta	GCF_000359505	NC_020912.1	5210888	5211302	10952	DUF1924 domain-containing protein	http://purl.uniprot.org/uniprot/A0A4S2XH15
GCF-001516265-protein451.fasta	GCF_001516265	NZ_CP008857.1	466429	467128	451	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000776AE28
GCF-000017205-protein9409.fasta	GCF_000017205	NC_009656.1	3846632	3847340	9409	Uncharacterized protein	http://purl.uniprot.org/uniprot/A6V7N0
GCF-003052005-protein8035.fasta	GCF_003052005	NZ_CP028584.2	1708926	1709847	8035	LysR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A157WID9
GCF-003429205-protein8846.fasta	GCF_003429205	NZ_CP031660.1	3139370	3139694	8846		
GCF-001516185-protein5245.fasta	GCF_001516185	NZ_CP008870.2	5736543	5736783	5245	HTH cro/C1-type domain-containing protein	http://purl.uniprot.org/uniprot/A0A2R5ECR5
GCF-002968955-protein7304.fasta	GCF_002968955	NZ_CP027166.1	1354986	1355856	7304	Sulfate ABC transporter permease subunit CysW	http://purl.uniprot.org/uniprot/A0A2V2TZC1
GCF-003073735-protein7172.fasta	GCF_003073735	NZ_CP029088.1	1196938	1197556	7172	Class I SAM-dependent methyltransferase	http://purl.uniprot.org/uniprot/A0A2I0C5I1
GCF-002968695-protein11589.fasta	GCF_002968695	NZ_CP027174.1	5421525	5422827	11589	glycosyltransferase	http://purl.uniprot.org/uniparc/UPI000451E1B1
GCF-003052005-protein6810.fasta	GCF_003052005	NZ_CP028584.2	356691	357357	6810	FAA_hydrolase domain-containing protein	http://purl.uniprot.org/uniprot/Q9I6H3
GCF-000508765-protein411.fasta	GCF_000508765	NC_023066.1	440511	441081	411	UPF0301 protein AlgH	http://purl.uniprot.org/uniprot/Q9RQ16
GCF-000284555-protein2885.fasta	GCF_000284555	NC_017549.1	3136485	3137595	2885		
GCF-000504045-protein10205.fasta	GCF_000504045	NC_023019.1	4839708	4840362	10205	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0003D21949
GCF-002968695-protein6779.fasta	GCF_002968695	NZ_CP027174.1	128730	129618	6779	4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase	http://purl.uniprot.org/uniparc/UPI0002B4F1F1
GCF-000508765-protein123.fasta	GCF_000508765	NC_023066.1	136861	137449	123	2-hydroxychromene-2-carboxylate isomerase	http://purl.uniprot.org/uniprot/A0A1F0J5B2
GCF-002411865-protein3962.fasta	GCF_002411865	NZ_CP031449.1	4311720	4312038	3962	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000614F9E8
GCF-001874465-protein9288.fasta	GCF_001874465	NZ_CP017969.1	3037922	3039404	9288	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	http://purl.uniprot.org/uniprot/A0A2L1KFK6
GCF-003073615-protein12375.fasta	GCF_003073615	NZ_CP029089.1	6680164	6680989	12375	Prepilin-type N-terminal cleavage/methylation domain-containing protein	http://purl.uniprot.org/uniprot/A0A2W6X7K9
GCF-003319235-protein7250.fasta	GCF_003319235	NZ_CP030861.1	1192861	1193854	7250	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0H2ZF48
GCF-002968695-protein10556.fasta	GCF_002968695	NZ_CP027174.1	4234120	4234390	10556	dTDP-D-glucose 4,6-dehydratase	http://purl.uniprot.org/uniprot/W1MQ81
GCF-900243355-protein5171.fasta	GCF_900243355	NZ_LT969520.1	5606086	5607325	5171	Phage portal protein	http://purl.uniprot.org/uniprot/A0A2K4XYS2
GCF-002968695-protein11080.fasta	GCF_002968695	NZ_CP027174.1	4832673	4834317	11080	Acetyltransferase component of pyruvate dehydrogenase complex	http://purl.uniprot.org/uniprot/A0A4U9L4Q7
GCF-002442855-protein8817.fasta	GCF_002442855	NZ_CP017306.1	2616227	2617070	8817	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4U9RQD6
GCF-000829885-protein7795.fasta	GCF_000829885	NZ_CP010555.1	1723214	1723796	7795	Plasmid pRiA4b ORF-3-like protein	http://purl.uniprot.org/uniprot/A0A0G6CFB5
GCF-001516325-protein2432.fasta	GCF_001516325	NZ_CP008860.2	2625249	2632581	2432	type I polyketide synthase	http://purl.uniprot.org/uniparc/UPI0003BAD509
GCF-000473745-protein7169.fasta	GCF_000473745	NZ_CP008739.1	1568140	1568782	7169	type II secretion system protein	http://purl.uniprot.org/uniparc/UPI00068B140F
GCF-003073735-protein8767.fasta	GCF_003073735	NZ_CP029088.1	2896978	2898010	8767	Phosphoglycerate dehydrogenase	http://purl.uniprot.org/uniprot/A0A2S5GTB7
GCF-002968755-protein3224.fasta	GCF_002968755	NZ_CP027169.1	3536259	3536487	3224	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2R3INT8
GCF-003028335-protein1331.fasta	GCF_003028335	NZ_CP028162.1	1403597	1404779	1331	Formate-dependent phosphoribosylglycinamide formyltransferase	http://purl.uniprot.org/uniprot/B7UYK0
GCF-001874465-protein8838.fasta	GCF_001874465	NZ_CP017969.1	2480682	2481048	8838	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4V6K847
GCF-000017205-protein10037.fasta	GCF_000017205	NC_009656.1	4500489	4501296	10037	IclR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A086BVK3
GCF-003369775-protein3771.fasta	GCF_003369775	NZ_CP030910.1	4149605	4149935	3771	ArsR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A3M4JRD5
GCF-002223805-protein4447.fasta	GCF_002223805	NZ_CP019338.1	4905956	4906271	4447	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A424XI75
GCF-003025345-protein7055.fasta	GCF_003025345	NZ_CP020560.1	931339	932734	7055	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000D14D205
GCF-000508765-protein1974.fasta	GCF_000508765	NC_023066.1	2097752	2100134	1974	RND family transporter	http://purl.uniprot.org/uniprot/A0A2V2U2A4
GCF-001606045-protein6229.fasta	GCF_001606045	NZ_CP014948.1	146139	147633	6229	Putative 3-oxopropanoate dehydrogenase	http://purl.uniprot.org/uniprot/Q9I702
GCF-003073695-protein2830.fasta	GCF_003073695	NZ_CP029093.1	3088787	3089168	2830		
GCF-003288335-protein4941.fasta	GCF_003288335	NZ_CP030351.1	5400597	5402538	4941	DUF3732 domain-containing protein	http://purl.uniprot.org/uniparc/UPI000DCAB7DE
GCF-003319235-protein10446.fasta	GCF_003319235	NZ_CP030861.1	4636745	4637735	10446		
GCF-000508765-protein621.fasta	GCF_000508765	NC_023066.1	666622	666976	621	Putative holin	http://purl.uniprot.org/uniprot/A0A3S4NR98
GCF-001516325-protein3296.fasta	GCF_001516325	NZ_CP008860.2	3684720	3685971	3296		
GCF-001874465-protein10909.fasta	GCF_001874465	NZ_CP017969.1	4780295	4780649	10909	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1B8VFT6
GCF-002208645-protein4372.fasta	GCF_002208645	NZ_CP022001.1	4770203	4770692	4372		
GCF-002753655-protein3501.fasta	GCF_002753655	NZ_CP024477.1	3874356	3875130	3501	Amino acid ABC transporter periplasmic protein	http://purl.uniprot.org/uniprot/A0A485FSP0
GCF-003028335-protein2917.fasta	GCF_003028335	NZ_CP028162.1	3190709	3192305	2917	Isocitrate lyase	http://purl.uniprot.org/uniprot/A0A157W8Y4
GCF-002411865-protein5471.fasta	GCF_002411865	NZ_CP031449.1	5927562	5927925	5471		
GCF-001516105-protein3720.fasta	GCF_001516105	NZ_CP008868.1	4047611	4049090	3720		
GCF-002968695-protein12873.fasta	GCF_002968695	NZ_CP027174.1	6819874	6822727	12873	valine--tRNA ligase	http://purl.uniprot.org/uniparc/UPI0002B53951
GCF-000508765-protein4689.fasta	GCF_000508765	NC_023066.1	5097495	5098299	4689	AraC family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1F0I5E8
GCF-000271365-protein1093.fasta	GCF_000271365	NC_018080.1	1175231	1176209	1093	Helix-turn-helix transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1F0IAW2
GCF-003288355-protein10667.fasta	GCF_003288355	NZ_CP030328.1	5300193	5300403	10667		
GCF-001874465-protein8880.fasta	GCF_001874465	NZ_CP017969.1	2513685	2514303	8880	Glycoprotein	http://purl.uniprot.org/uniprot/A0A3E1MVT4
GCF-900095805-protein8186.fasta	GCF_900095805	NZ_LT608330.1	2698257	2699505	8186	Putative cation efflux system protein	http://purl.uniprot.org/uniprot/A0A0H2ZBT4
GCF-001721745-protein5577.fasta	GCF_001721745	NZ_CP012585.1	6143958	6144354	5577	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0008481EFE
GCF-003052005-protein8294.fasta	GCF_003052005	NZ_CP028584.2	1993925	1994816	8294	NAD(P)-dependent oxidoreductase	http://purl.uniprot.org/uniprot/A0A2V2TPI1
GCF-001516165-protein11401.fasta	GCF_001516165	NZ_CP008869.2	5983346	5984048	11401	LysM peptidoglycan-binding domain-containing protein	http://purl.uniprot.org/uniprot/A0A367M8Q1
GCF-002192495-protein3895.fasta	GCF_002192495	NZ_CP021775.1	4246906	4247869	3895	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000B44C2C6
GCF-003369735-protein2862.fasta	GCF_003369735	NZ_CP030913.1	3136892	3137849	2862	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00053DF251
GCF-001900195-protein8940.fasta	GCF_001900195	NZ_CP013477.1	3371840	3372986	8940	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0000F2EE83
GCF-002208645-protein4310.fasta	GCF_002208645	NZ_CP022001.1	4705028	4705400	4310	RidA family protein	http://purl.uniprot.org/uniparc/UPI000B50776B
GCF-002215345-protein11564.fasta	GCF_002215345	NZ_CP017293.1	5155315	5155654	11564	phage tail assembly protein	http://purl.uniprot.org/uniparc/UPI00053E9EE7
GCF-002075065-protein735.fasta	GCF_002075065	NZ_CP014866.1	775019	776654	735	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0009B972B9
GCF-003193645-protein1301.fasta	GCF_003193645	NZ_CP029660.1	1397836	1398229	1301		
GCF-000026645-protein5087.fasta	GCF_000026645	NC_011770.1	5519777	5521484	5087	POTRA domain-containing protein	http://purl.uniprot.org/uniprot/A0A1C7B900
GCF-001722005-protein28.fasta	GCF_001722005	NZ_CP017099.1	29431	30034	28	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0009362839
GCF-003028335-protein2926.fasta	GCF_003028335	NZ_CP028162.1	3203387	3204383	2926	NADH-quinone oxidoreductase subunit H	http://purl.uniprot.org/uniprot/B7VAQ9
GCF-900243355-protein1290.fasta	GCF_900243355	NZ_LT969520.1	1379948	1380923	1290	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00044F1673
GCF-003369775-protein3844.fasta	GCF_003369775	NZ_CP030910.1	4227837	4228248	3844	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4D6XEK5
GCF-003060845-protein832.fasta	GCF_003060845	NZ_CP028917.1	896907	897906	832	Probable binding protein component of ABC iron transporter PA5217	http://purl.uniprot.org/uniprot/Q9HTX3
GCF-002411865-protein4445.fasta	GCF_002411865	NZ_CP031449.1	4813423	4814752	4445	TrbI/VirB10 family protein	http://purl.uniprot.org/uniparc/UPI000BCA26C9
GCF-000271365-protein2865.fasta	GCF_000271365	NC_018080.1	3126204	3127356	2865	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A3S0IWM9
GCF-002237405-protein8637.fasta	GCF_002237405	NZ_CP022526.1	2872219	2873386	8637	Membrane protein	http://purl.uniprot.org/uniprot/W1MSJ6
GCF-001548335-protein10653.fasta	GCF_001548335	NZ_AP017302.1	5041440	5041752	10653	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00044E25B6
GCF-001792835-protein10564.fasta	GCF_001792835	NZ_CP015001.1	4537322	4537634	10564		
GCF-002237405-protein6015.fasta	GCF_002237405	NZ_CP022526.1	5004	5559	6015	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A335PSV1
GCF-003052005-protein11694.fasta	GCF_003052005	NZ_CP028584.2	5727790	5728279	11694	Putative activator of alkane oxidation	http://purl.uniprot.org/uniprot/A0A0H2ZHF1
GCF-003429185-protein5266.fasta	GCF_003429185	NZ_CP031659.1	5733062	5734331	5266	urea ABC transporter substrate-binding protein	http://purl.uniprot.org/uniparc/UPI000D92BE9F
GCF-002812865-protein10764.fasta	GCF_002812865	NZ_CP025051.1	5039264	5040050	10764	FprA family A-type flavoprotein	http://purl.uniprot.org/uniprot/A0A485G4K2
GCF-002946935-protein10568.fasta	GCF_002946935	NZ_CP026680.1	4757700	4758720	10568	DUF2804 domain-containing protein	http://purl.uniprot.org/uniparc/UPI0009721A53
GCF-900243355-protein336.fasta	GCF_900243355	NZ_LT969520.1	385484	385961	336	Putative integral membrane protein	http://purl.uniprot.org/uniprot/A0A0H2ZKD8
GCF-900243355-protein5175.fasta	GCF_900243355	NZ_LT969520.1	5609951	5610266	5175	Phage head-tail joining protein	http://purl.uniprot.org/uniprot/A0A2K4XYS7
GCF-002812865-protein7288.fasta	GCF_002812865	NZ_CP025051.1	1261842	1262079	7288	transcriptional regulator	http://purl.uniprot.org/uniparc/UPI00044D2A0E
GCF-003319235-protein11522.fasta	GCF_003319235	NZ_CP030861.1	5746912	5747230	11522	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0003B94000
GCF-000816985-protein3615.fasta	GCF_000816985	NZ_CP007399.1	3961698	3963297	3615		
GCF-003369775-protein797.fasta	GCF_003369775	NZ_CP030910.1	862573	863143	797		
GCF-002968695-protein8654.fasta	GCF_002968695	NZ_CP027174.1	2198326	2199802	8654	NAD(P)/FAD-dependent oxidoreductase	http://purl.uniprot.org/uniprot/A0A4V6DF10
GCF-001447845-protein882.fasta	GCF_001447845	NZ_CP013245.1	970705	971656	882	NADP-dependent aryl-alcohol dehydrogenase	http://purl.uniprot.org/uniprot/A0A157T9Y9
GCF-001792835-protein11427.fasta	GCF_001792835	NZ_CP015001.1	5445367	5446153	11427	Short-chain dehydrogenase/reductase SDR	http://purl.uniprot.org/uniprot/A0A335Q2E7
GCF-000496455-protein3138.fasta	GCF_000496455	NZ_CP013993.1	3378297	3379014	3138	Gluconate 2-dehydrogenase subunit 3 family protein	http://purl.uniprot.org/uniprot/A0A2V2TIL7
GCF-002968695-protein9738.fasta	GCF_002968695	NZ_CP027174.1	3376358	3377000	9738	thiol:disulfide oxidoreductase	http://purl.uniprot.org/uniparc/UPI0002B5B36F
GCF-002104595-protein9115.fasta	GCF_002104595	NZ_CP020704.1	2783107	2783347	9115	DUF1654 domain-containing protein	http://purl.uniprot.org/uniparc/UPI0004498601
GCF-002946935-protein9583.fasta	GCF_002946935	NZ_CP026680.1	3737557	3738076	9583	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0001E9E6C0
GCF-002205375-protein12538.fasta	GCF_002205375	NZ_CP022002.1	6441787	6442066	12538		
GCF-002287725-protein8751.fasta	GCF_002287725	NZ_CP023316.1	2599036	2599657	8751	Glutathione S-transferase	http://purl.uniprot.org/uniprot/A0A4U9M1H2
GCF-001516225-protein5361.fasta	GCF_001516225	NZ_CP008864.2	5846894	5847848	5361	Oxidoreductase	http://purl.uniprot.org/uniprot/A0A425A0L6
GCF-900095805-protein10529.fasta	GCF_900095805	NZ_LT608330.1	5351134	5353558	10529	AAA_15 domain-containing protein	http://purl.uniprot.org/uniprot/A0A0H2ZH36
GCF-002968755-protein1693.fasta	GCF_002968755	NZ_CP027169.1	1885861	1887052	1693	S-adenosylmethionine synthase	http://purl.uniprot.org/uniprot/A6UZ09
GCF-900185255-protein7905.fasta	GCF_900185255	NZ_LT883143.1	2420562	2421399	7905	Redoxin	http://purl.uniprot.org/uniprot/A0A1V2XTB8
GCF-001792855-protein5946.fasta	GCF_001792855	NZ_CP015002.1	6447116	6447869	5946	Exonuclease SbcC	http://purl.uniprot.org/uniprot/A0A0G5WBE6
GCF-002968695-protein12627.fasta	GCF_002968695	NZ_CP027174.1	6558666	6559335	12627	helix-turn-helix transcriptional regulator	http://purl.uniprot.org/uniparc/UPI000447E96C
GCF-001792855-protein5954.fasta	GCF_001792855	NZ_CP015002.1	6454461	6454689	5954	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0G4ZJR2
GCF-001516245-protein10595.fasta	GCF_001516245	NZ_CP008856.2	4739449	4740574	10595	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000CFBA2A9
GCF-000026645-protein5068.fasta	GCF_000026645	NC_011770.1	5498921	5500988	5068	Carbon starvation protein A	http://purl.uniprot.org/uniprot/A0A2V2TZ31
GCF-002237405-protein12022.fasta	GCF_002237405	NZ_CP022526.1	6570430	6570964	12022	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A241XE96
GCF-001900195-protein6954.fasta	GCF_001900195	NZ_CP013477.1	1165331	1166267	6954	Glycine betaine ABC transporter substrate-binding protein	http://purl.uniprot.org/uniprot/A0A4Y7V947
GCF-003028335-protein142.fasta	GCF_003028335	NZ_CP028162.1	157288	158206	142	HTH-type transcriptional activator BauR	http://purl.uniprot.org/uniprot/Q9I6Z9
GCF-001542835-protein2060.fasta	GCF_001542835	NZ_CP008873.1	2244998	2245949	2060	Ribosomal protein L11 methyltransferase	http://purl.uniprot.org/uniprot/B7V1R2
GCF-001729505-protein10099.fasta	GCF_001729505	NZ_CP017149.1	4477829	4478183	10099	Arsenate reductase	http://purl.uniprot.org/uniprot/A0A2V2TPF5
GCF-003369775-protein1167.fasta	GCF_003369775	NZ_CP030910.1	1253821	1254040	1167	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4Y7VC58
GCF-001722005-protein2839.fasta	GCF_001722005	NZ_CP017099.1	3123827	3125630	2839	ATP-binding protein	http://purl.uniprot.org/uniprot/A0A509JJR1
GCF-002753655-protein3086.fasta	GCF_002753655	NZ_CP024477.1	3428707	3430303	3086	sporadically distributed protein, TIGR04141 family	http://purl.uniprot.org/uniparc/UPI000C18CE7D
GCF-002812865-protein9308.fasta	GCF_002812865	NZ_CP025051.1	3489156	3490368	9308		
GCF-000496455-protein4305.fasta	GCF_000496455	NZ_CP013993.1	4602103	4602976	4305	CRISPR-associated endonuclease Cas1	http://purl.uniprot.org/uniprot/A0A1C7BN58
GCF-000017205-protein10074.fasta	GCF_000017205	NC_009656.1	4540544	4543391	10074	Virulence sensor protein BvgS	http://purl.uniprot.org/uniprot/A6V9M6
GCF-000496605-protein7716.fasta	GCF_000496605	NC_022808.2	1239367	1240792	7716	phage major capsid protein	http://purl.uniprot.org/uniparc/UPI0003D6A590
GCF-000829255-protein7759.fasta	GCF_000829255	NZ_AP014646.1	1888411	1889371	7759	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A157W0D0
GCF-002812825-protein11977.fasta	GCF_002812825	NZ_CP025049.1	6482198	6483944	11977	DUF2326 domain-containing protein	http://purl.uniprot.org/uniprot/A0A2R3Q506
GCF-001516105-protein5684.fasta	GCF_001516105	NZ_CP008868.1	6223682	6224387	5684	molecular chaperone	http://purl.uniprot.org/uniparc/UPI0009B90581
GCF-003052005-protein9553.fasta	GCF_003052005	NZ_CP028584.2	3408037	3409390	9553	Gluconate permease	http://purl.uniprot.org/uniprot/Q9ZIJ1
GCF-003073615-protein8727.fasta	GCF_003073615	NZ_CP029089.1	2671263	2672058	8727	Putative thioesterase	http://purl.uniprot.org/uniprot/Q6TLJ4
GCF-003369775-protein3736.fasta	GCF_003369775	NZ_CP030910.1	4117348	4117564	3736		
GCF-002968695-protein6771.fasta	GCF_002968695	NZ_CP027174.1	117974	118964	6771	catabolite repressor/activator	http://purl.uniprot.org/uniparc/UPI00053D831D
GCF-001792835-protein12149.fasta	GCF_001792835	NZ_CP015001.1	6238098	6239232	12149		
GCF-001516225-protein340.fasta	GCF_001516225	NZ_CP008864.2	379501	380275	340	Bacterial transferase hexapeptide family protein	http://purl.uniprot.org/uniprot/A0A2R3IYQ3
GCF-002968695-protein6723.fasta	GCF_002968695	NZ_CP027174.1	68935	69829	6723	ABC transporter permease	http://purl.uniprot.org/uniparc/UPI0002B55F67
GCF-002237405-protein6786.fasta	GCF_002237405	NZ_CP022526.1	874744	875206	6786	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000B5063C7
GCF-001874465-protein9272.fasta	GCF_001874465	NZ_CP017969.1	3016709	3018575	9272		
GCF-000026645-protein4856.fasta	GCF_000026645	NC_011770.1	5261705	5263802	4856	PAS domain-containing sensor histidine kinase	http://purl.uniprot.org/uniprot/A0A2V2TN09
GCF-001874465-protein6719.fasta	GCF_001874465	NZ_CP017969.1	242663	244031	6719	Dihydropyrimidine dehydrogenase subunit A	http://purl.uniprot.org/uniprot/W1MUQ4
GCF-001874465-protein9456.fasta	GCF_001874465	NZ_CP017969.1	3221046	3222075	9456	JmjC domain-containing protein	http://purl.uniprot.org/uniprot/A0A1C7B8I4
GCF-002215345-protein7532.fasta	GCF_002215345	NZ_CP017293.1	740010	740715	7532	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0003B96571
GCF-002968695-protein11597.fasta	GCF_002968695	NZ_CP027174.1	5427222	5429181	11597	DUF4105 domain-containing protein	http://purl.uniprot.org/uniprot/A0A1F0ITC7
GCF-002968695-protein9448.fasta	GCF_002968695	NZ_CP027174.1	3069369	3070911	9448	MFS transporter	http://purl.uniprot.org/uniparc/UPI0002CA3744
GCF-002968755-protein180.fasta	GCF_002968755	NZ_CP027169.1	202777	205567	180	Helicase SNF2	http://purl.uniprot.org/uniprot/A0A081Y2I4
GCF-000026645-protein2687.fasta	GCF_000026645	NC_011770.1	2820114	2820462	2687	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0J9DJ62
GCF-002812865-protein7253.fasta	GCF_002812865	NZ_CP025051.1	1220247	1221603	7253	TRAP transporter solute receptor, TAXI family	http://purl.uniprot.org/uniprot/A0A335MW13
GCF-000496455-protein398.fasta	GCF_000496455	NZ_CP013993.1	431738	432638	398	CDF family zinc transporter CzcD	http://purl.uniprot.org/uniprot/A0A2V2TT51
GCF-001874465-protein8098.fasta	GCF_001874465	NZ_CP017969.1	1714911	1715466	8098	NADPH-dependent FMN reductase	http://purl.uniprot.org/uniprot/A0A3E1N3F0
GCF-002223805-protein4497.fasta	GCF_002223805	NZ_CP019338.1	4951111	4951609	4497	DNA repair protein RadC	http://purl.uniprot.org/uniprot/A0A0P7D7L5
GCF-002968695-protein8907.fasta	GCF_002968695	NZ_CP027174.1	2494775	2495945	8907	MFS transporter	http://purl.uniprot.org/uniprot/A0A2V2U1L9
GCF-000816985-protein5991.fasta	GCF_000816985	NZ_CP007399.1	6581944	6583678	5991	Isocitrate dehydrogenase kinase/phosphatase	http://purl.uniprot.org/uniprot/A0A2V2T9H0
GCF-000829885-protein11894.fasta	GCF_000829885	NZ_CP010555.1	6143812	6146437	11894	Alanine--tRNA ligase	http://purl.uniprot.org/uniprot/Q9I553
GCF-002968695-protein11776.fasta	GCF_002968695	NZ_CP027174.1	5625433	5626138	11776	DsbA family protein	http://purl.uniprot.org/uniparc/UPI0002B5EDF6
GCF-000504045-protein10217.fasta	GCF_000504045	NC_023019.1	4855488	4856526	10217		
GCF-002946935-protein7333.fasta	GCF_002946935	NZ_CP026680.1	1274989	1275220	7333	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A157WL67
GCF-900185255-protein7922.fasta	GCF_900185255	NZ_LT883143.1	2438593	2440150	7922	COX1 domain-containing protein	http://purl.uniprot.org/uniprot/A0A1V2Y5M8
GCF-001077475-protein4034.fasta	GCF_001077475	NZ_CP012066.1	4486369	4487149	4034	RNA polymerase subunit sigma-24	http://purl.uniprot.org/uniparc/UPI00066EE5B5
